iso_year,iso_week,rebalance_date,next_rebalance_date,vnindex_close,vnindex_next_close,vnindex_weekly_return,vnindex_cumulative,Avoid,Buy,Buy_cumulative,Avoid_cumulative
2016,1,2016-01-08,2016-01-15,560.05,543.04,-0.03037228818855453,0.9696277118114455,,,1.0,1.0
2016,2,2016-01-15,2016-01-22,543.04,522.24,-0.03830288744843835,0.9324881706990449,,,1.0,1.0
2016,3,2016-01-22,2016-01-29,522.24,545.25,0.04406020220588225,0.973573788054638,,,1.0,1.0
2016,4,2016-01-29,2016-02-05,545.25,544.75,-0.0009170105456213218,0.9726810106240514,,,1.0,1.0
2016,5,2016-02-05,2016-02-19,544.75,554.03,0.017035337310692844,0.9892509597357377,,,1.0,1.0
2016,7,2016-02-19,2016-02-26,554.03,566.11,0.02180387343645651,1.010820462458709,,,1.0,1.0
2016,8,2016-02-26,2016-03-04,566.11,573.65,0.013318966278638378,1.0242835461119542,,,1.0,1.0
2016,9,2016-03-04,2016-03-11,573.65,577.26,0.0062930358232371475,1.030729399160789,,,1.0,1.0
2016,10,2016-03-11,2016-03-18,577.26,575.82,-0.002494543186778775,1.0281582001607,-0.021811326488265826,0.05197013621574653,1.0519701362157465,0.9781886735117342
2016,11,2016-03-18,2016-03-25,575.82,572.08,-0.006495085269702328,1.0214802249799124,-0.027185479851742817,0.06868915019192454,1.1242290708996892,0.9515961450367779
2016,12,2016-03-25,2016-04-01,572.08,558.43,-0.02386029925884503,0.9971074011248994,-0.03668849659005156,0.04525007757391389,1.1751005235687493,0.9166835131144898
2016,13,2016-04-01,2016-04-08,558.43,572.34,0.024909120212023073,1.0219444692438173,-0.003187700238656624,0.07413372636891571,1.2622151042389644,0.9137614008609621
2016,14,2016-04-08,2016-04-15,572.34,579.86,0.013139043226054303,1.035371841799839,-0.01228990979540271,0.08261266707180917,1.366490060418467,0.9025313556698601
2016,15,2016-04-15,2016-04-22,579.86,592.48,0.02176387403856106,1.0579055441478435,-0.025034195043614017,0.052189963538898,1.4378071268479735,0.8799372096790434
2016,16,2016-04-22,2016-04-29,592.48,598.37,0.0099412638401295,1.068422462280153,-0.01773210900326467,0.06702526984299041,1.534176537507134,0.864334067160986
2016,17,2016-04-29,2016-05-06,598.37,606.52,0.013620335244079795,1.082974734398714,-0.018482915180383905,0.04908991191982571,1.6094891286028223,0.8483586539101333
2016,18,2016-05-06,2016-05-13,606.52,610.82,0.007089626063444099,1.0906526203017586,-0.024450107001650505,0.050788620832218384,1.6912328616890087,0.8276161940462544
2016,19,2016-05-13,2016-05-20,610.82,614.81,0.0065322026128809,1.097776984197839,-0.008974735669428616,0.05465113339533328,1.7836606544157458,0.8201885574689507
2016,20,2016-05-20,2016-05-27,614.81,608.11,-0.010897675704689136,1.0858137666279795,-0.013079587393736769,0.05445938396588192,1.8807977148594093,0.8094608295521926
2016,21,2016-05-27,2016-06-03,608.11,621.88,0.022643929552219166,1.110400857066333,0.006275333456919399,0.09224017994226816,2.0542828345130477,0.8145404661779472
2016,22,2016-06-03,2016-06-10,621.88,629.84,0.012799897086254619,1.124613873761271,-0.0012983744727154954,0.07846379772444195,2.215469667309073,0.8134828876296679
2016,23,2016-06-10,2016-06-17,629.84,619.25,-0.016813793979423397,1.1057048477814477,-0.029506267829251587,0.06731737496779748,2.3646092696330996,0.7894800436727539
2016,24,2016-06-17,2016-06-24,619.25,620.77,0.0024545821558337177,1.108418891170431,-0.01908929485116966,0.0974149581431714,2.594957582659363,0.7744094263399705
2016,25,2016-06-24,2016-07-01,620.77,640.3,0.03146092755771046,1.1432907776091417,-0.0026593508631847923,0.09025639355285706,2.829169095492837,0.7723499999635748
2016,26,2016-07-01,2016-07-08,640.3,658.68,0.02870529439325309,1.1761092759575034,-0.0016756602741610771,0.12463059935274803,3.1817701355343817,0.7710558037508874
2016,27,2016-07-08,2016-07-15,658.68,664.56,0.008926944798688385,1.1866083385412014,-0.05616680064928537,0.040123658887032954,3.3094343951095113,0.7277480661321368
2016,28,2016-07-15,2016-07-22,664.56,649.87,-0.022104851330203346,1.1603785376305686,-0.04907379225277921,0.039063460705135646,3.438712355559096,0.6920347087224066
2016,29,2016-07-22,2016-07-29,649.87,652.23,0.003631495529875295,1.1645924471029372,-0.02140227554042724,0.06333015833571597,3.6564865535076367,0.6772235912027903
2016,30,2016-07-29,2016-08-05,652.23,627.39,-0.038084724713674634,1.1202392643513972,-0.07637109797547455,0.00970538699384935,3.6919741705472346,0.6255032819677393
2016,31,2016-08-05,2016-08-12,627.39,655.71,0.045139386984172525,1.1708061780198196,0.00530183061587932,0.09881451900892277,4.0567948224032255,0.628819594418409
2016,32,2016-08-12,2016-08-19,655.71,662.28,0.010019673331198131,1.1825372734577269,-0.019157296982490656,0.07948182343246692,4.3792362721792255,0.6167731106997262
2016,33,2016-08-19,2016-08-26,662.28,667.75,0.008259346499969844,1.1923042585483439,-0.016308312390283193,0.05505047931797293,4.620315328009345,0.6067145821365083
2016,34,2016-08-26,2016-09-01,667.75,669.19,0.0021564956944966074,1.1948754575484333,-0.01983497999705056,0.05039010699016617,4.853133511716041,0.5946804105359118
2016,35,2016-09-01,2016-09-09,669.19,666.88,-0.0034519344281893627,1.1907508258191233,-0.016571820602240103,0.0559819490770357,5.124821384832984,0.5848254734568442
2016,36,2016-09-09,2016-09-16,666.88,651.31,-0.023347528790787053,1.1629497366306578,-0.05264440820658035,0.027072884497777085,5.263565082256305,0.5540376825025755
2016,37,2016-09-16,2016-09-23,651.31,674.09,0.034975664430148656,1.2036246763681815,-0.0009882881206640427,0.08159245886464771,5.693032299711699,0.553490133642558
2016,38,2016-09-23,2016-09-30,674.09,685.73,0.017267723894435427,1.2244085349522364,-0.016579012395367302,0.06218255223779169,6.047039578079957,0.5443138138561845
2016,39,2016-09-30,2016-10-07,685.73,683.95,-0.002595773846849281,1.2212302472993484,-0.027261115280117754,0.05694532117884781,6.391390189034924,0.5294752122280905
2016,40,2016-10-07,2016-10-14,683.95,687.0,0.004459390306308819,1.2266761896259262,-0.014471828224524736,0.05767023305396808,6.759983150775413,0.5218127379075818
2016,41,2016-10-14,2016-10-21,687.0,684.83,-0.003158660844250316,1.2228015355771806,-0.03517099894005954,0.03842227582060484,7.019717087937146,0.5034600626557246
2016,42,2016-10-21,2016-10-28,684.83,682.25,-0.0037673583225034113,1.218194804035354,-0.03061469666922639,0.04376183112387793,7.3269127616768515,0.48804678555244996
2016,43,2016-10-28,2016-11-04,682.25,666.73,-0.0227482594356907,1.1904829925899474,-0.04247042961826832,0.02869337782540465,7.537146637841424,0.46731922889622257
2016,44,2016-11-04,2016-11-11,666.73,679.2,0.018703223193796692,1.2127488617087763,-0.0059340544058181606,0.07654045853434667,8.114043297542416,0.4645461311670674
2016,45,2016-11-11,2016-11-18,679.2,673.25,-0.00876030624263846,1.2021248102847961,-0.020997087210857013,0.053017973570171406,8.544233430638746,0.45479201553748627
2016,46,2016-11-18,2016-11-25,673.25,675.87,0.003891570738952854,1.2068029640210698,-0.022989706272448118,0.05145302253638646,8.983860065901549,0.4443364806852248
2016,47,2016-11-25,2016-12-02,675.87,665.14,-0.015875834110109954,1.1876439603606823,-0.03577448627692817,0.0356945686760663,9.304535076000041,0.42844057135461266
2016,48,2016-12-02,2016-12-09,665.14,663.07,-0.0031121267703039246,1.1839478617980541,-0.04226941358137326,0.03503841647202093,9.630551251071457,0.4103306396489847
2016,49,2016-12-09,2016-12-16,663.07,675.16,0.018233369025894675,1.205535220069637,-0.029918891736559632,0.05403758939276808,10.150963025202865,0.3980540016651335
2016,50,2016-12-16,2016-12-23,675.16,664.37,-0.015981397002192033,1.1862690831175793,-0.019392497796522197,0.044234017936369725,10.599980905731115,0.3903347403149455
2016,51,2016-12-23,2016-12-30,664.37,664.87,0.000752592681788844,1.187161860548166,-0.016473250477170673,0.06567814542299916,11.296167993138738,0.3839046583677961
2016,52,2016-12-30,2017-01-06,664.87,679.8,0.022455517619985876,1.2138201946254805,-0.017681947095152147,0.068673961882338,12.071920603316034,0.37711647650895425
2017,1,2017-01-06,2017-01-13,679.8,685.06,0.007737569873492278,1.2232122131952512,-0.013308129808430626,0.05337033435066723,12.71620304216972,0.3720977614866751
2017,2,2017-01-13,2017-01-20,685.06,686.26,0.0017516713864480504,1.225354879028659,-0.03110560341541552,0.04563471186101844,13.296503303965343,0.3605234360861067
2017,3,2017-01-20,2017-01-25,686.26,697.28,0.016058053798851724,1.2450316935987866,0.0007727768208267142,0.06511637276267014,14.162323369546426,0.36080204024087886
2017,4,2017-01-25,2017-02-03,697.28,700.35,0.004402822395594308,1.250513347022588,-0.014070477119666856,0.044578169236342266,14.793653817493873,0.3557253833889405
2017,5,2017-02-03,2017-02-10,700.35,703.78,0.004897551224387842,1.2566378001964118,-0.008144042149281907,0.06814435503966529,15.801757815567074,0.3528283408730515
2017,6,2017-02-10,2017-02-17,703.78,707.83,0.005754639233851666,1.2638692973841632,-0.005333649965703838,0.07655903778679003,17.011525189266777,0.35094647800485457
2017,7,2017-02-17,2017-02-24,707.83,714.47,0.009380783521466984,1.2757253816623526,-0.019066898819522934,0.07674402604451125,18.317058121448724,0.3442550170176681
2017,8,2017-02-24,2017-03-03,714.47,712.62,-0.002589331952356333,1.2724221051691822,-0.02450921761490565,0.03936611553841244,19.03812954778149,0.335817595890559
2017,9,2017-03-03,2017-03-10,712.62,712.21,-0.0005753416968369285,1.2716900276761014,-0.010484272165603353,0.06663404352008881,20.30671710060945,0.3322967928172438
2017,10,2017-03-10,2017-03-17,712.21,710.54,-0.002344814029569986,1.2687081510579423,-0.009623432793053263,0.06515586094530469,21.6298187362724,0.3290989569642199
2017,11,2017-03-17,2017-03-24,710.54,722.14,0.01632561150674139,1.2894205874475504,-0.023869457856168848,0.07443343106911464,23.239800358216176,0.32124354328045335
2017,12,2017-03-24,2017-03-31,722.14,722.31,0.0002354114160687537,1.2897241317739496,-0.01578931238376378,0.05865603208752211,24.60295483373531,0.3161713286243311
2017,13,2017-03-31,2017-04-07,722.31,727.95,0.007808281762678115,1.299794661190966,-0.019471424292564266,0.04732821760594429,25.767368833855553,0.31001502253554303
